Time (Sec);S6;S2;S4;S3;S7;S5;S1;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.541;19160.0;19160.0;19160.0;19160.0;19159.9967968;19160.0;19159.9933696;
1.041;19160.0;19160.0;19160.0;19160.0;19159.9967968;19160.0;19159.9933696;
1.541;19160.0;19160.0;19160.0;19160.0;19159.9967968;19160.0;19159.9933696;
1.541;19160.0;19160.0;19160.0;19160.0;19159.9901664;19160.0;19159.9933696;
1.5495839999999999;19160.0;19160.0;19159.9967968;19159.9967968;19159.9901664;19160.0;19159.9901664;
1.5495839999999999;19160.0;19160.0;19159.9901664;19159.9901664;19159.9901664;19160.0;19159.9901664;
1.5581679999999998;19159.9967968;19159.9967968;19159.986963199997;19159.986963199997;19159.983759999996;19159.9967968;19159.9901664;
1.5581679999999998;19159.9967968;19159.99064;19159.986963199997;19159.986963199997;19159.983759999996;19159.9967968;19159.9901664;
1.5581679999999998;19159.9901664;19159.99064;19159.986963199997;19159.986963199997;19159.983759999996;19159.9901664;19159.9901664;
1.5656626666666664;19159.987192;19159.99064;19159.986963199997;19159.9839888;19159.983759999996;19159.9901664;19159.9901664;
1.5667519999999997;19159.9839888;19159.9874368;19159.980556799994;19159.9839888;19159.983759999996;19159.986963199997;19159.9901664;
2.5409999999999995;19159.9839888;19159.9874368;19159.980556799994;19159.9839888;19159.983759999996;19159.986963199997;19159.9901664;
2.5495839999999994;19159.9839888;19159.9874368;19159.980556799994;19159.9839888;19159.983759999996;19159.986963199997;19159.9901664;
2.5495839999999994;19159.9839888;19159.9874368;19159.973926399995;19159.9773584;19159.983759999996;19159.986963199997;19159.9901664;
2.5581679999999993;19159.980785599997;19159.984233599997;19159.970723199993;19159.974155199998;19159.977353599992;19159.983759999996;19159.9901664;
2.5581679999999993;19159.980785599997;19159.984233599997;19159.970723199993;19159.974155199998;19159.977353599992;19159.983759999996;19159.9901664;
2.5581679999999993;19159.980785599997;19159.984233599997;19159.970723199993;19159.974155199998;19159.977353599992;19159.977129599996;19159.9901664;
2.5581679999999993;19159.973681599997;19159.984233599997;19159.970723199993;19159.974155199998;19159.977353599992;19159.977129599996;19159.9901664;
2.5667519999999993;19159.970478399995;19159.984233599997;19159.96751999999;19159.974155199998;19159.977353599992;19159.977129599996;19159.9901664;
2.5678413333333325;19159.970478399995;19159.980801599995;19159.96408799999;19159.974155199998;19159.977353599992;19159.973697599995;19159.9901664;
3.040999999999999;19159.970478399995;19159.980801599995;19159.96408799999;19159.974155199998;19159.977353599992;19159.973697599995;19159.9901664;
3.540999999999999;19159.970478399995;19159.980801599995;19159.96408799999;19159.974155199998;19159.977353599992;19159.973697599995;19159.9901664;
3.549583999999999;19159.970478399995;19159.980801599995;19159.96408799999;19159.974155199998;19159.977353599992;19159.973697599995;19159.9901664;
3.549583999999999;19159.970478399995;19159.980801599995;19159.96408799999;19159.967051199998;19159.977353599992;19159.973697599995;19159.9901664;
3.558167999999999;19159.970478399995;19159.980801599995;19159.96408799999;19159.967051199998;19159.977353599992;19159.973697599995;19159.9901664;
3.558167999999999;19159.964321599997;19159.980801599995;19159.96408799999;19159.967051199998;19159.977353599992;19159.973697599995;19159.9901664;
3.559257333333332;19159.964321599997;19159.977369599994;19159.96065599999;19159.967051199998;19159.97392159999;19159.973697599995;19159.9901664;
3.5656626666666655;19159.964321599997;19159.974395199995;19159.95768159999;19159.967051199998;19159.97392159999;19159.970723199996;19159.9901664;
4.040999999999999;19159.964321599997;19159.974395199995;19159.95768159999;19159.967051199998;19159.97392159999;19159.970723199996;19159.9901664;
4.040999999999999;19159.964321599997;19159.974395199995;19159.95768159999;19159.967051199998;19159.96729119999;19159.970723199996;19159.9901664;
4.0495839999999985;19159.964321599997;19159.974395199995;19159.954478399988;19159.963847999996;19159.96729119999;19159.970723199996;19159.986963199997;
4.5495839999999985;19159.964321599997;19159.974395199995;19159.954478399988;19159.963847999996;19159.96729119999;19159.970723199996;19159.986963199997;
4.558167999999998;19159.964321599997;19159.974395199995;19159.954478399988;19159.963847999996;19159.96729119999;19159.970723199996;19159.986963199997;
4.558167999999998;19159.964321599997;19159.974395199995;19159.954478399988;19159.963847999996;19159.96729119999;19159.963619199996;19159.986963199997;
4.567841333333332;19159.960889599995;19159.974395199995;19159.951046399987;19159.963847999996;19159.96729119999;19159.963619199996;19159.986963199997;
5.040999999999999;19159.960889599995;19159.974395199995;19159.951046399987;19159.963847999996;19159.96729119999;19159.963619199996;19159.986963199997;
5.540999999999999;19159.960889599995;19159.974395199995;19159.951046399987;19159.963847999996;19159.96729119999;19159.963619199996;19159.986963199997;
5.5495839999999985;19159.960889599995;19159.974395199995;19159.951046399987;19159.963847999996;19159.96729119999;19159.963619199996;19159.986963199997;
5.558167999999998;19159.960889599995;19159.974395199995;19159.951046399987;19159.963847999996;19159.96729119999;19159.963619199996;19159.986963199997;
5.558167999999998;19159.960889599995;19159.974395199995;19159.951046399987;19159.963847999996;19159.96729119999;19159.956515199996;19159.986963199997;
5.567841333333332;19159.957457599994;19159.974395199995;19159.947614399985;19159.963847999996;19159.96729119999;19159.956515199996;19159.986963199997;
6.040999999999999;19159.957457599994;19159.974395199995;19159.947614399985;19159.963847999996;19159.96729119999;19159.956515199996;19159.986963199997;
6.540999999999999;19159.957457599994;19159.974395199995;19159.947614399985;19159.963847999996;19159.96729119999;19159.956515199996;19159.986963199997;
6.540999999999999;19159.957457599994;19159.974395199995;19159.947614399985;19159.963847999996;19159.961134399993;19159.956515199996;19159.986963199997;
6.548494666666666;19159.957457599994;19159.974395199995;19159.947614399985;19159.960873599997;19159.961134399993;19159.956515199996;19159.986963199997;
6.549583999999999;19159.957457599994;19159.974395199995;19159.947614399985;19159.960873599997;19159.961134399993;19159.956515199996;19159.986963199997;
6.558167999999999;19159.957457599994;19159.974395199995;19159.947614399985;19159.960873599997;19159.961134399993;19159.956515199996;19159.986963199997;
7.049583999999999;19159.957457599994;19159.974395199995;19159.947614399985;19159.960873599997;19159.961134399993;19159.956515199996;19159.986963199997;
7.549583999999999;19159.957457599994;19159.974395199995;19159.947614399985;19159.960873599997;19159.961134399993;19159.956515199996;19159.986963199997;
7.549583999999999;19159.957457599994;19159.974395199995;19159.940510399985;19159.960873599997;19159.961134399993;19159.956515199996;19159.986963199997;
7.558167999999999;19159.957457599994;19159.974395199995;19159.940510399985;19159.960873599997;19159.961134399993;19159.956515199996;19159.986963199997;
