Time (Sec);S6;S2;S4;S3;S7;S5;S1;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
0.558168;19159.986031999997;19159.987208;19159.982599999996;19159.9864896;19159.993135999997;19159.986031999997;19159.990395200002;
1.0484946666666666;19159.986031999997;19159.987208;19159.982599999996;19159.9864896;19159.993135999997;19159.986031999997;19159.990395200002;
1.0484946666666666;19159.986031999997;19159.987208;19159.982599999996;19159.9803328;19159.993135999997;19159.986031999997;19159.990395200002;
1.0559893333333332;19159.986031999997;19159.9842336;19159.979625599997;19159.9803328;19159.9901616;19159.986031999997;19159.990395200002;
1.0581679999999998;19159.986031999997;19159.9842336;19159.979625599997;19159.9803328;19159.9901616;19159.986031999997;19159.990395200002;
1.0581679999999998;19159.986031999997;19159.9842336;19159.979625599997;19159.9803328;19159.9840048;19159.986031999997;19159.990395200002;
1.0581679999999998;19159.986031999997;19159.9842336;19159.972521599997;19159.9803328;19159.9840048;19159.986031999997;19159.990395200002;
1.0656626666666664;19159.986031999997;19159.9842336;19159.972521599997;19159.977358400003;19159.9840048;19159.986031999997;19159.990395200002;
1.067841333333333;19159.986031999997;19159.9842336;19159.972521599997;19159.977358400003;19159.9840048;19159.986031999997;19159.990395200002;
1.067841333333333;19159.978927999997;19159.9842336;19159.972521599997;19159.977358400003;19159.9840048;19159.978927999997;19159.990395200002;
2.048494666666666;19159.972063999994;19159.9842336;19159.965657599994;19159.9739264;19159.9805728;19159.972063999994;19159.990395200002;
2.0581679999999993;19159.972063999994;19159.9842336;19159.965657599994;19159.9739264;19159.9805728;19159.972063999994;19159.990395200002;
2.0581679999999993;19159.972063999994;19159.9842336;19159.958553599994;19159.9739264;19159.9805728;19159.972063999994;19159.990395200002;
2.0678413333333325;19159.972063999994;19159.9842336;19159.958553599994;19159.9739264;19159.9805728;19159.972063999994;19159.990395200002;
2.0678413333333325;19159.964959999994;19159.9842336;19159.958553599994;19159.9739264;19159.9805728;19159.964959999994;19159.990395200002;
2.0678413333333325;19159.961527999993;19159.9842336;19159.958553599994;19159.9704944;19159.9805728;19159.961527999993;19159.990395200002;
2.0775146666666657;19159.95809599999;19159.9842336;19159.95168959999;19159.9704944;19159.977140799998;19159.95809599999;19159.990395200002;
2.5484946666666657;19159.95809599999;19159.9842336;19159.95168959999;19159.9704944;19159.977140799998;19159.95809599999;19159.990395200002;
3.0484946666666657;19159.95809599999;19159.9842336;19159.95168959999;19159.9704944;19159.977140799998;19159.95809599999;19159.990395200002;
3.058167999999999;19159.95809599999;19159.9842336;19159.95168959999;19159.9704944;19159.977140799998;19159.95809599999;19159.990395200002;
3.058167999999999;19159.95809599999;19159.9842336;19159.94458559999;19159.9704944;19159.977140799998;19159.95809599999;19159.990395200002;
3.067841333333332;19159.95809599999;19159.9842336;19159.94458559999;19159.9704944;19159.977140799998;19159.95809599999;19159.990395200002;
3.067841333333332;19159.95099199999;19159.9842336;19159.94458559999;19159.9704944;19159.977140799998;19159.95099199999;19159.990395200002;
3.067841333333332;19159.94755999999;19159.9842336;19159.94458559999;19159.9670624;19159.977140799998;19159.94755999999;19159.990395200002;
3.0775146666666653;19159.94412799999;19159.9842336;19159.93772159999;19159.9670624;19159.973708799997;19159.94412799999;19159.990395200002;
3.5484946666666652;19159.94412799999;19159.9842336;19159.93772159999;19159.9670624;19159.973708799997;19159.94412799999;19159.990395200002;
3.5484946666666652;19159.94412799999;19159.9842336;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
3.555989333333332;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
4.058167999999998;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
4.067841333333332;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
5.058167999999998;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
5.067841333333332;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
6.058167999999998;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
6.067841333333332;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
7.058167999999998;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
7.067841333333332;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
8.058167999999998;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
8.067841333333332;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
9.058167999999998;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
10.058167999999998;19159.94412799999;19159.9812592;19159.93772159999;19159.9609056;19159.973708799997;19159.94412799999;19159.990395200002;
