Time (Sec);S6;S19;S2;S18;S17;S13;S4;S14;S8;S20;S10;S3;S9;S7;S12;S5;S1;S15;S16;S11;
3.060346666666665;17816.0;17960.0;16864.0;17720.0;17720.0;15920.0;16640.0;17352.0;17000.0;18560.0;17360.0;16280.0;16640.0;17232.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
3.070019999999998;17816.0;17960.0;16864.0;17720.0;17720.0;15920.0;16640.0;17352.0;17000.0;18560.0;17360.0;16280.0;16640.0;17232.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
3.0796933333333314;17816.0;17960.0;16864.0;17720.0;17720.0;15920.0;16640.0;17352.0;17000.0;18560.0;17360.0;16280.0;16640.0;17232.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
3.0893666666666646;17816.0;17960.0;16864.0;17720.0;17720.0;15920.0;16640.0;17352.0;17000.0;18560.0;17360.0;16280.0;16640.0;17232.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
3.099039999999998;17816.0;17960.0;16864.0;17720.0;17720.0;15920.0;16640.0;17352.0;17000.0;18560.0;17360.0;16280.0;16640.0;17232.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
3.108713333333331;17816.0;17960.0;16864.0;17720.0;17720.0;15920.0;16640.0;17352.0;17000.0;18560.0;17360.0;16280.0;16640.0;17232.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
3.108713333333331;17816.0;17960.0;16864.0;17720.0;17720.0;15920.0;16640.0;17352.0;17000.0;18560.0;17360.0;16280.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
3.1194759999999975;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.040999999999998;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.050673333333331;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.060346666666665;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.070019999999999;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.079693333333332;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.089366666666666;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.09904;17688.0;17960.0;16736.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.09904;17688.0;17960.0;16480.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.108713333333333;17688.0;17960.0;16480.0;17720.0;17720.0;15920.0;16640.0;17352.0;16872.0;18560.0;17360.0;16152.0;16640.0;16976.0;17360.0;16640.0;17576.0;17000.0;17360.0;17000.0;
4.109802666666667;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
5.050673333333334;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
5.060346666666668;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
5.070020000000001;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
5.079693333333335;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
5.089366666666669;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
5.099040000000002;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
5.108713333333336;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
6.050673333333336;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
6.060346666666669;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
6.070020000000003;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
6.079693333333337;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
6.08936666666667;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
6.099040000000004;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
6.108713333333338;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
7.070020000000005;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
7.0796933333333385;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
7.089366666666672;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
7.099040000000006;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
7.108713333333339;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
8.070020000000007;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
8.07969333333334;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
8.089366666666674;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17352.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
8.089366666666674;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
8.099040000000008;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16512.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17448.0;17000.0;17360.0;17000.0;
8.10012933333334;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
8.108713333333341;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
9.070020000000008;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
9.079693333333342;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
9.089366666666676;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
9.09904000000001;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
9.100129333333342;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
9.108713333333341;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
10.079693333333342;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
10.089366666666676;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
10.09904000000001;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
10.108713333333343;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
11.079693333333344;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
11.089366666666677;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
11.099040000000011;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
11.108713333333345;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
12.079693333333346;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16872.0;17360.0;17000.0;
12.079693333333346;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16616.0;17360.0;17000.0;
12.08936666666668;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16384.0;17096.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16640.0;17320.0;16616.0;17360.0;17000.0;
12.090456000000012;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16256.0;16968.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16512.0;17320.0;16616.0;17232.0;17000.0;
12.090456000000012;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16256.0;16968.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16512.0;17320.0;16616.0;16976.0;17000.0;
12.099040000000013;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16256.0;16968.0;16872.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16512.0;17320.0;16616.0;16976.0;17000.0;
12.099040000000013;17560.0;17960.0;16480.0;17720.0;17720.0;15920.0;16256.0;16968.0;16616.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16512.0;17320.0;16616.0;16976.0;17000.0;
12.10121866666668;17560.0;17960.0;16480.0;17720.0;17592.0;15920.0;16256.0;16968.0;16616.0;18560.0;17360.0;16024.0;16640.0;16848.0;17360.0;16384.0;17320.0;16488.0;16976.0;17000.0;
